folder_name,split
56,test
58,test
60,test
62,test
63,test
64,test
65,test
68,test
69,test
72,test
73,test
74,test
76,test
77,test
78,test
8,test
80,test
81,test
82,test
84,test
85,test
88,test
89,test
9,test
91,test
92,test
93,test
94,test
95,test
96,test
98,test
healthy_11,test
healthy_12,test
healthy_13,test
healthy_2,test
healthy_22,test
healthy_23,test
healthy_25,test
healthy_3,test
healthy_36,test
healthy_47,test
healthy_53,test
healthy_60,test
healthy_65,test
healthy_67,test
healthy_70,test
healthy_76,test
healthy_9,test
10,train
100,train
101,train
102,train
103,train
105,train
106,train
108,train
109,train
111,train
112,train
114,train
115,train
117,train
118,train
119,train
12,train
120,train
123,train
124,train
125,train
126,train
127,train
128,train
129,train
13,train
130,train
131,train
135,train
137,train
140,train
141,train
142,train
143,train
144,train
146,train
147,train
149,train
150,train
152,train
153,train
154,train
155,train
157,train
158,train
159,train
160,train
161,train
162,train
163,train
164,train
165,train
168,train
169,train
17,train
171,train
172,train
174,train
175,train
177,train
178,train
179,train
180,train
182,train
184,train
186,train
187,train
189,train
19,train
191,train
192,train
193,train
195,train
196,train
197,train
198,train
199,train
20,train
200,train
201,train
203,train
204,train
207,train
208,train
209,train
21,train
210,train
211,train
213,train
214,train
227,train
229,train
23,train
230,train
24,train
244,train
245,train
247,train
249,train
25,train
250,train
252,train
253,train
254,train
256,train
257,train
259,train
26,train
260,train
261,train
262,train
263,train
267,train
268,train
269,train
27,train
272,train
273,train
274,train
275,train
278,train
279,train
28,train
280,train
282,train
283,train
284,train
287,train
288,train
289,train
29,train
290,train
291,train
292,train
293,train
294,train
295,train
296,train
297,train
299,train
303,train
304,train
307,train
308,train
309,train
31,train
310,train
311,train
312,train
314,train
316,train
317,train
318,train
319,train
323,train
325,train
326,train
327,train
329,train
332,train
335,train
337,train
338,train
339,train
340,train
342,train
344,train
345,train
346,train
347,train
35,train
351,train
352,train
353,train
355,train
360,train
361,train
362,train
363,train
365,train
366,train
369,train
37,train
371,train
374,train
375,train
376,train
377,train
378,train
379,train
38,train
380,train
381,train
382,train
383,train
386,train
388,train
389,train
39,train
390,train
391,train
392,train
393,train
394,train
396,train
397,train
399,train
4,train
40,train
400,train
403,train
406,train
407,train
408,train
410,train
411,train
412,train
416,train
419,train
42,train
420,train
421,train
422,train
423,train
425,train
427,train
428,train
43,train
430,train
431,train
432,train
433,train
434,train
437,train
439,train
44,train
441,train
442,train
443,train
445,train
446,train
447,train
448,train
452,train
455,train
458,train
459,train
46,train
healthy_1,train
healthy_15,train
healthy_16,train
healthy_17,train
healthy_18,train
healthy_19,train
healthy_24,train
healthy_26,train
healthy_27,train
healthy_29,train
healthy_30,train
healthy_31,train
healthy_32,train
healthy_33,train
healthy_34,train
healthy_35,train
healthy_39,train
healthy_4,train
healthy_40,train
healthy_41,train
healthy_43,train
healthy_45,train
healthy_46,train
healthy_49,train
healthy_51,train
healthy_54,train
healthy_59,train
healthy_61,train
healthy_63,train
healthy_66,train
healthy_68,train
healthy_7,train
healthy_71,train
healthy_72,train
healthy_73,train
healthy_75,train
healthy_77,train
healthy_79,train
460,valid
463,valid
464,valid
47,valid
471,valid
472,valid
479,valid
48,valid
481,valid
482,valid
483,valid
486,valid
487,valid
488,valid
489,valid
490,valid
492,valid
493,valid
497,valid
5,valid
50,valid
500,valid
501,valid
502,valid
507,valid
509,valid
51,valid
510,valid
511,valid
512,valid
53,valid
